player_id,player_name,position,national_team_name,matches_with_position_data,total_position_points,mean_points_per_match,median_points_per_match,weighted_mean_x,weighted_mean_y,unweighted_mean_x,unweighted_mean_y,median_x,median_y,weighted_x_std,weighted_y_std,spatial_spread,defensive_third_match_share,middle_third_match_share,attacking_third_match_share,right_wide_match_share,right_half_space_match_share,central_lane_match_share,left_half_space_match_share,left_wide_match_share,wide_lane_match_share,half_space_match_share,dominant_longitudinal_zone,dominant_lateral_lane,position_consistency_score,spatial_reliability
318941,Rúben Dias,D,Portugal,4,351,87.75,81.5,37.6034,35.9145,36.6502,35.8866,36.1387,35.8453,5.0709,4.0211,6.4717,0.2222,0.7778,0.0,0.0,0.7778,0.2222,0.0,0.0,0.0,0.7778,deeper_half,right_half_space,0.1338,0.93
979480,Willian Pacho,D,Ecuador,4,349,87.25,86.5,33.7536,60.598,33.7461,60.1175,33.2287,59.9045,3.6116,7.3619,8.2001,0.5043,0.4957,0.0,0.0,0.0,0.4814,0.5186,0.0,0.0,0.5186,deep_build_up,left_half_space,0.1087,0.93
954836,Josip Šutalo,D,Croatia,4,347,86.75,96.5,35.528,31.3124,34.7162,31.4092,34.6769,31.4444,3.5236,1.2829,3.7499,0.4092,0.5908,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,deeper_half,right_half_space,0.2105,0.93
784677,Diney Borges,D,Cabo Verde,4,331,82.75,81.0,25.8151,63.0852,25.6022,63.3203,26.2503,62.0217,4.2002,4.0229,5.816,1.0,0.0,0.0,0.0,0.0,0.2779,0.7221,0.0,0.0,0.7221,deep_build_up,left_half_space,0.1467,0.93
1002837,Piero Hincapié,D,Ecuador,4,326,81.5,83.0,52.4945,78.4178,52.7946,79.7304,53.2732,79.7086,2.5914,4.1211,4.8681,0.0,1.0,0.0,0.0,0.0,0.0,0.6503,0.3497,0.3497,0.6503,central_advanced,left_half_space,0.1704,0.93
2058228,Mbekezeli Mbokazi,D,South Africa,4,325,81.25,79.0,29.9985,69.5492,30.4319,69.1975,29.0624,69.5975,2.8695,3.2018,4.2995,0.8154,0.1846,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deep_build_up,left_half_space,0.1887,0.93
965263,Gustaf Lagerbielke,D,Sweden,4,318,79.5,83.5,40.4764,24.3459,40.7162,24.0825,40.2789,23.9765,2.5262,3.9727,4.7079,0.0,1.0,0.0,0.2075,0.7925,0.0,0.0,0.0,0.2075,0.7925,deeper_half,right_half_space,0.1752,0.93
889785,Johan Vásquez,D,Mexico,4,317,79.25,77.0,35.8937,67.7779,35.4645,67.459,33.7119,66.9866,4.771,2.3168,5.3038,0.4322,0.5678,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,deeper_half,left_half_space,0.1586,0.93
931278,Rayan Aït-Nouri,D,Algeria,4,317,79.25,92.5,57.1864,88.8653,58.8871,89.5484,58.2909,89.2524,4.4916,1.926,4.8872,0.0,0.8959,0.1041,0.0,0.0,0.0,0.0,1.0,1.0,0.0,central_advanced,left_wide,0.1699,0.93
808680,Harry Souttar,D,Australia,4,315,78.75,77.5,33.6492,45.9889,33.4849,45.2442,34.2189,46.0154,4.108,2.4172,4.7663,0.5143,0.4857,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,deep_build_up,central_lane,0.1734,0.93
