player_id,player_name,national_team_id,national_team_name,squad_entries,appearances,starts,minutes,goals,assists,xg,xa,shots,shots_on_target,passes,accurate_passes,tackles,interceptions,saves,goals_prevented,weighted_rating,pass_accuracy_pct,goals_per_90,assists_per_90,xg_per_90,xa_per_90
964994,Joško Gvardiol,4715,Croatia,4,4,2,162.0,0.0,0.0,0.2033,0.03334849,1.0,0.0,86.0,74.0,3.0,2.0,0.0,0.0,6.16,86.05,0.0,0.0,0.113,0.019
37318,Ante Budimir,4715,Croatia,4,3,2,156.0,1.0,0.0,0.9651000000000001,0.00634574,3.0,1.0,15.0,7.0,1.0,0.0,0.0,0.0,6.61,46.67,0.577,0.0,0.557,0.004
190437,Mario Pašalić,4715,Croatia,4,4,1,121.0,0.0,0.0,0.2653,0.43372649,4.0,1.0,51.0,46.0,2.0,1.0,0.0,0.0,6.7,90.2,0.0,0.0,0.197,0.323
827668,Petar Musa,4715,Croatia,4,2,2,111.0,1.0,0.0,0.1425,0.00344725,1.0,1.0,15.0,7.0,3.0,0.0,0.0,0.0,7.08,46.67,0.811,0.0,0.116,0.003
1066802,Marco Pašalić,4715,Croatia,4,3,1,106.0,0.0,0.0,0.8001999999999999,0.04015872,3.0,2.0,34.0,22.0,3.0,1.0,0.0,0.0,6.73,64.71,0.0,0.0,0.679,0.034
1019321,Igor Matanović,4715,Croatia,4,3,0,93.0,0.0,0.0,0.4189,0.15494423000000002,4.0,2.0,13.0,10.0,1.0,0.0,0.0,0.0,6.43,76.92,0.0,0.0,0.405,0.15
67647,Andrej Kramarić,4715,Croatia,4,3,0,70.0,0.0,0.0,0.0073,0.01013052,1.0,0.0,20.0,17.0,1.0,0.0,0.0,0.0,6.56,85.0,0.0,0.0,0.009,0.013
1405212,Luka Vušković,4715,Croatia,4,1,1,66.0,0.0,0.0,0.0,0.0138322,0.0,0.0,42.0,37.0,0.0,1.0,0.0,0.0,6.1,88.1,0.0,0.0,0.0,0.019
949156,Luka Sučić,4715,Croatia,4,1,0,18.0,0.0,0.0,0.0543,5.35e-06,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,6.5,50.0,0.0,0.0,0.272,0.0
257091,Duje Ćaleta-Car,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
789234,Martin Erlić,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
796206,Kristijan Jakić,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
814882,Nikola Moro,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
835678,Dominik Kotarski,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
916183,Toni Fruk,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
943212,Ivor Pandur,4715,Croatia,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
40859,Eloy Room,55827,Curaçao,3,3,3,270.0,0.0,0.0,0.0,0.00256383,0.0,0.0,74.0,38.0,0.0,0.0,20.0,0.3662000000000002,7.2,51.35,0.0,0.0,0.0,0.001
74545,Leandro Bacuna,55827,Curaçao,3,3,3,270.0,0.0,0.0,0.38439999999999996,0.07407671,6.0,1.0,128.0,107.0,6.0,0.0,0.0,0.0,6.63,83.59,0.0,0.0,0.128,0.025
803021,Sherel Constancio Floranus,55827,Curaçao,3,3,3,270.0,0.0,0.0,0.12290000000000001,0.02658543,2.0,0.0,103.0,90.0,9.0,4.0,0.0,0.0,6.6,87.38,0.0,0.0,0.041,0.009
825838,Armando Obispo,55827,Curaçao,3,3,3,270.0,0.0,0.0,0.0,0.0085039,0.0,0.0,100.0,88.0,3.0,7.0,0.0,0.0,6.4,88.0,0.0,0.0,0.0,0.003
788971,Juninho Bacuna,55827,Curaçao,3,3,3,255.0,0.0,0.0,0.23870000000000002,0.1391712,5.0,1.0,71.0,59.0,6.0,5.0,0.0,0.0,6.56,83.1,0.0,0.0,0.084,0.049
825845,Tahith Chong,55827,Curaçao,3,3,3,249.0,0.0,0.0,0.1185,0.06578911,4.0,2.0,61.0,51.0,2.0,1.0,0.0,0.0,6.62,83.61,0.0,0.0,0.043,0.024
1177177,Deveron Fonville,55827,Curaçao,3,3,3,243.0,0.0,0.0,0.0,0.043513090000000004,0.0,0.0,59.0,51.0,5.0,4.0,0.0,0.0,6.07,86.44,0.0,0.0,0.0,0.016
97409,Jürgen Locadia,55827,Curaçao,3,3,3,237.0,0.0,0.0,0.1098,0.0496329,1.0,0.0,51.0,38.0,0.0,1.0,0.0,0.0,6.44,74.51,0.0,0.0,0.042,0.019
1136642,Livano Comenencia,55827,Curaçao,3,3,3,235.0,1.0,0.0,0.2379,0.06945388,5.0,2.0,64.0,51.0,2.0,10.0,0.0,0.0,6.9,79.69,0.383,0.0,0.091,0.027
296438,Joshua Brenet,55827,Curaçao,3,2,2,179.0,0.0,0.0,0.0,0.02626187,0.0,0.0,47.0,37.0,8.0,2.0,0.0,0.0,6.85,78.72,0.0,0.0,0.0,0.013
884944,Jurien Gaari,55827,Curaçao,3,2,2,167.0,0.0,0.0,0.0545,0.00250742,2.0,0.0,53.0,39.0,3.0,2.0,0.0,0.0,6.39,73.58,0.0,0.0,0.029,0.001
227196,Riechedly Bazoer,55827,Curaçao,3,1,1,90.0,0.0,0.0,0.0,0.00354329,0.0,0.0,35.0,31.0,1.0,1.0,0.0,0.0,5.3,88.57,0.0,0.0,0.0,0.004
1092638,Jeremy Antonisse,55827,Curaçao,3,2,0,74.0,0.0,0.0,0.052,0.292084,1.0,0.0,32.0,25.0,2.0,0.0,0.0,0.0,6.84,78.12,0.0,0.0,0.063,0.355
1199057,Sontje Hansen,55827,Curaçao,3,1,1,45.0,0.0,0.0,0.0261,0.00617458,1.0,1.0,7.0,6.0,1.0,0.0,0.0,0.0,6.6,85.71,0.0,0.0,0.052,0.012
798178,Gervane Kastaneer,55827,Curaçao,3,3,0,39.0,0.0,0.0,0.0411,0.0063585199999999995,1.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,6.47,45.45,0.0,0.0,0.095,0.015
1036004,Jearl Margaritha,55827,Curaçao,3,2,0,39.0,0.0,0.0,0.0374,0.00203966,1.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,6.36,87.5,0.0,0.0,0.086,0.005
796142,Kenji Gorré,55827,Curaçao,3,1,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0
925930,Roshon van Eijma,55827,Curaçao,3,1,0,14.0,0.0,0.0,0.0,8.01e-06,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,6.9,50.0,0.0,0.0,0.0,0.0
1469336,Tyrese Noslin,55827,Curaçao,3,1,0,13.0,0.0,0.0,0.0,0.0418395,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,6.8,50.0,0.0,0.0,0.0,0.29
825849,Godfried Roemeratoe,55827,Curaçao,3,1,0,12.0,0.0,0.0,0.0,9.62e-06,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.7,100.0,0.0,0.0,0.0,0.0
252885,Brandley Kuwas,55827,Curaçao,3,1,0,1.0,0.0,0.0,0.0,0.00401308,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.361
916926,Shurandy Sambo,55827,Curaçao,3,1,0,1.0,0.0,0.0,0.0,0.00354103,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.319
895013,Trevor Iriving Doornbusch,55827,Curaçao,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
896215,Kevin Felida,55827,Curaçao,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
1004277,Ar'Jany Martha,55827,Curaçao,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
