stage_order,stage_code,stage_label,formation,formation_slot,position,position_order,event_id,player_id,player_name,national_team_name,opponent_team_name,minutes_played,rating,goals,assists,xg,xa
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,D2,D,2,15186861,869792,Gabriel Magalhães,Brazil,Scotland,90.0,8.1,0.0,0.0,0.0673,0.0206011
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,D3,D,2,15186732,1638685,Mateo Chávez,Mexico,Czechia,78.0,8.1,1.0,0.0,0.4262,0.0221911
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,D4,D,2,15186973,151545,Virgil van Dijk,Netherlands,Tunisia,90.0,8.0,0.0,1.0,0.0365,0.0709055
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,M1,M,3,15186537,818244,Ousmane Dembélé,France,Norway,65.0,10.0,3.0,0.0,0.2915,0.0933236
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,M2,M,3,15186771,879694,Pape Gueye,Senegal,Iraq,33.0,9.9,2.0,1.0,0.3308,0.0847439
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,M3,M,3,15186676,991011,Jude Bellingham,England,Panama,71.0,9.3,1.0,1.0,0.1181,0.57002
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,M4,M,3,15186747,158213,Riyad Mahrez,Algeria,Austria,90.0,9.0,2.0,0.0,0.7523,0.0524448
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,M5,M,3,15186822,70996,Kevin De Bruyne,Belgium,New Zealand,72.0,9.0,1.0,0.0,0.512,0.520753
3,GROUP_MD3,Grup 3. Maçları,4-2-3-1,F1,F,4,15186861,868812,Vinícius Júnior,Brazil,Scotland,90.0,9.3,2.0,0.0,3.0562,0.511597
3,GROUP_MD3,Grup 3. Maçları,4-3-3,G1,G,1,15186821,556866,Gregor Kobel,Switzerland,Canada,90.0,8.9,0.0,0.0,0.0,0.0009527
