stage_order,stage_code,stage_label,round_number,round_name,analysis_position,position_rank,event_id,player_id,player_name,national_team_name,opponent_team_name,home_team_name,away_team_name,home_score,away_score,appearance_type,is_starter,stat_minutesPlayed,stat_rating,stat_goals,stat_goalAssist,stat_expectedGoals,stat_expectedAssists
3,GROUP_MD3,Grup 3. Maçları,3,,D,1,15186973,962012,Jan Paul van Hecke,Netherlands,Tunisia,Tunisia,Netherlands,1.0,3.0,starter,True,90.0,9.1,1.0,0.0,0.122,0.216196
3,GROUP_MD3,Grup 3. Maçları,3,,D,2,15186861,869792,Gabriel Magalhães,Brazil,Scotland,Scotland,Brazil,0.0,3.0,starter,True,90.0,8.1,0.0,0.0,0.0673,0.0206011
3,GROUP_MD3,Grup 3. Maçları,3,,D,3,15186732,1638685,Mateo Chávez,Mexico,Czechia,Czechia,Mexico,0.0,3.0,starter,True,78.0,8.1,1.0,0.0,0.4262,0.0221911
3,GROUP_MD3,Grup 3. Maçları,3,,D,4,15186973,151545,Virgil van Dijk,Netherlands,Tunisia,Tunisia,Netherlands,1.0,3.0,starter,True,90.0,8.0,0.0,1.0,0.0365,0.0709055
3,GROUP_MD3,Grup 3. Maçları,3,,D,5,15186864,814594,Achraf Hakimi,Morocco,Haiti,Morocco,Haiti,4.0,2.0,starter,True,90.0,7.9,1.0,1.0,1.3408,0.334138
3,GROUP_MD3,Grup 3. Maçları,3,,D,6,15186841,149734,Aymeric Laporte,Spain,Uruguay,Uruguay,Spain,0.0,1.0,starter,True,90.0,7.8,0.0,0.0,0.0,0.0216987
3,GROUP_MD3,Grup 3. Maçları,3,,D,7,15186803,881831,Abdulelah Al-Amri,Saudi Arabia,Cabo Verde,Cabo Verde,Saudi Arabia,0.0,0.0,starter,True,90.0,7.7,0.0,0.0,0.0134,0.215031
3,GROUP_MD3,Grup 3. Maçları,3,,D,8,15186676,877994,Marc Guéhi,England,Panama,Panama,England,0.0,2.0,starter,True,90.0,7.7,0.0,0.0,0.0,0.391078
3,GROUP_MD3,Grup 3. Maçları,3,,D,9,15186828,333441,Yasser Ibrahim,Egypt,Iran,Egypt,Iran,1.0,1.0,used_substitute,False,76.0,7.7,0.0,0.0,0.0,0.00600024
3,GROUP_MD3,Grup 3. Maçları,3,,D,10,15186744,1103520,Gi-Hyuk Lee,South Korea,South Africa,South Africa,South Korea,1.0,0.0,starter,True,90.0,7.6,0.0,0.0,0.0,0.033195
3,GROUP_MD3,Grup 3. Maçları,3,,F,1,15186861,868812,Vinícius Júnior,Brazil,Scotland,Scotland,Brazil,0.0,3.0,starter,True,90.0,9.3,2.0,0.0,3.0562,0.511597
3,GROUP_MD3,Grup 3. Maçları,3,,F,2,15186771,914309,Iliman Ndiaye,Senegal,Iraq,Senegal,Iraq,5.0,0.0,used_substitute,False,33.0,8.7,1.0,1.0,0.1158,0.170397
3,GROUP_MD3,Grup 3. Maçları,3,,F,3,15186887,1091116,Arda Güler,Türkiye,USA,Türkiye,USA,3.0,2.0,starter,True,90.0,8.6,1.0,0.0,0.6144,0.0798653
3,GROUP_MD3,Grup 3. Maçları,3,,F,4,15186696,107414,James Rodríguez,Colombia,Portugal,Colombia,Portugal,0.0,0.0,starter,True,76.0,8.3,0.0,0.0,0.1704,0.578794
3,GROUP_MD3,Grup 3. Maçları,3,,F,5,15186864,953995,Soufiane Rahimi,Morocco,Haiti,Morocco,Haiti,4.0,2.0,used_substitute,False,20.0,8.2,1.0,1.0,0.1224,0.420342
3,GROUP_MD3,Grup 3. Maçları,3,,F,6,15186717,805123,Yoane Wissa,DR Congo,Uzbekistan,DR Congo,Uzbekistan,3.0,1.0,starter,True,90.0,8.0,2.0,0.0,1.3277,0.0270336
3,GROUP_MD3,Grup 3. Maçları,3,,F,7,15186734,12994,Lionel Messi,Argentina,Jordan,Jordan,Argentina,1.0,3.0,used_substitute,False,30.0,8.0,1.0,0.0,0.1218,0.399377
3,GROUP_MD3,Grup 3. Maçları,3,,F,8,15186972,832420,Daizen Maeda,Japan,Sweden,Japan,Sweden,1.0,1.0,starter,True,90.0,7.9,1.0,0.0,0.6832,0.0354977
3,GROUP_MD3,Grup 3. Maçları,3,,F,9,15186973,1991585,Hazem Mastouri,Tunisia,Netherlands,Tunisia,Netherlands,1.0,3.0,starter,True,89.0,7.9,1.0,0.0,0.1427,0.0743223
3,GROUP_MD3,Grup 3. Maçları,3,,F,10,15186537,1065216,Oscar Bobb,Norway,France,Norway,France,1.0,4.0,starter,True,83.0,7.8,0.0,0.0,0.3217,0.08258
3,GROUP_MD3,Grup 3. Maçları,3,,G,1,15186821,556866,Gregor Kobel,Switzerland,Canada,Switzerland,Canada,2.0,1.0,starter,True,90.0,8.9,0.0,0.0,0.0,0.0009527
3,GROUP_MD3,Grup 3. Maçları,3,,G,2,15186861,243609,Alisson,Brazil,Scotland,Scotland,Brazil,0.0,3.0,starter,True,90.0,8.5,0.0,0.0,0.0,0.00081361
3,GROUP_MD3,Grup 3. Maçları,3,,G,3,15186861,227946,Angus Gunn,Scotland,Brazil,Scotland,Brazil,0.0,3.0,starter,True,90.0,8.3,0.0,0.0,0.0,0.002523
3,GROUP_MD3,Grup 3. Maçları,3,,G,4,15186696,843115,Diogo Costa,Portugal,Colombia,Colombia,Portugal,0.0,0.0,starter,True,90.0,8.2,0.0,0.0,0.0,0.00096597
3,GROUP_MD3,Grup 3. Maçları,3,,G,5,15186744,539792,Ronwen Williams,South Africa,South Korea,South Africa,South Korea,1.0,0.0,starter,True,90.0,7.9,0.0,0.0,0.0,0.35022
3,GROUP_MD3,Grup 3. Maçları,3,,G,6,15186891,991709,Orlando Gill,Paraguay,Australia,Paraguay,Australia,0.0,0.0,starter,True,90.0,7.8,0.0,0.0,0.0,0.000574
3,GROUP_MD3,Grup 3. Maçları,3,,G,7,15186973,1198374,Aymen Dahmen,Tunisia,Netherlands,Tunisia,Netherlands,1.0,3.0,starter,True,90.0,7.5,0.0,0.0,0.0,0.00321947
3,GROUP_MD3,Grup 3. Maçları,3,,G,8,15186537,191210,Mike Maignan,France,Norway,Norway,France,1.0,4.0,starter,True,90.0,7.5,0.0,0.0,0.0,3.766e-05
3,GROUP_MD3,Grup 3. Maçları,3,,G,9,15186696,125787,Camilo Vargas,Colombia,Portugal,Colombia,Portugal,0.0,0.0,starter,True,90.0,7.4,0.0,0.0,0.0,0.00143292
3,GROUP_MD3,Grup 3. Maçları,3,,G,10,15186891,1177240,Patrick Beach,Australia,Paraguay,Paraguay,Australia,0.0,0.0,starter,True,90.0,7.4,0.0,0.0,0.0,0.00163209
3,GROUP_MD3,Grup 3. Maçları,3,,M,1,15186537,818244,Ousmane Dembélé,France,Norway,Norway,France,1.0,4.0,starter,True,65.0,10.0,3.0,0.0,0.2915,0.0933236
3,GROUP_MD3,Grup 3. Maçları,3,,M,2,15186771,879694,Pape Gueye,Senegal,Iraq,Senegal,Iraq,5.0,0.0,used_substitute,False,33.0,9.9,2.0,1.0,0.3308,0.0847439
3,GROUP_MD3,Grup 3. Maçları,3,,M,3,15186676,991011,Jude Bellingham,England,Panama,Panama,England,0.0,2.0,starter,True,71.0,9.3,1.0,1.0,0.1181,0.57002
3,GROUP_MD3,Grup 3. Maçları,3,,M,4,15186747,158213,Riyad Mahrez,Algeria,Austria,Algeria,Austria,3.0,3.0,starter,True,90.0,9.0,2.0,0.0,0.7523,0.0524448
3,GROUP_MD3,Grup 3. Maçları,3,,M,5,15186822,70996,Kevin De Bruyne,Belgium,New Zealand,New Zealand,Belgium,1.0,5.0,starter,True,72.0,9.0,1.0,0.0,0.512,0.520753
