player_id,player_name,team_name,matches_with_heatmap,heatmap_point_count,grid_x,grid_y,npz_key
873534,Krépin Diatta,Senegal,4,398,21,14,873534
931844,Chris Richards,USA,4,398,21,14,931844
913654,Pedro Porro,Spain,4,392,21,14,913654
118179,Tim Ream,USA,4,380,21,14,118179
758168,Moussa Niakhaté,Senegal,4,377,21,14,758168
1507710,Ime Okon,South Africa,4,359,21,14,1507710
803174,Antonee Robinson,USA,4,358,21,14,803174
1155423,Alessandro Circati,Australia,4,357,21,14,1155423
318941,Rúben Dias,Portugal,4,351,21,14,318941
954836,Josip Šutalo,Croatia,4,347,21,14,954836
106337,Idrissa Gana Gueye,Senegal,4,346,21,14,106337
941168,William Saliba,France,4,345,21,14,941168
288205,Bruno Fernandes,Portugal,4,344,21,14,288205
368120,Nabil Bentaleb,Algeria,4,339,21,14,368120
1192318,Farès Chaïbi,Algeria,4,339,21,14,1192318
1142251,Aleksandar Pavlović,Germany,4,338,21,14,1142251
800419,Tyler Adams,USA,4,337,21,14,800419
784677,Diney Borges,Cabo Verde,4,331,21,14,784677
974087,Manu Koné,France,4,327,21,14,974087
2058228,Mbekezeli Mbokazi,South Africa,4,325,21,14,2058228
15466,Luka Modrić,Croatia,4,321,21,14,15466
795222,Frenkie de Jong,Netherlands,4,319,21,14,795222
96538,Lucas Digne,France,4,318,21,14,96538
965263,Gustaf Lagerbielke,Sweden,4,318,21,14,965263
889785,Johan Vásquez,Mexico,4,317,21,14,889785
931278,Rayan Aït-Nouri,Algeria,4,317,21,14,931278
808680,Harry Souttar,Australia,4,315,21,14,808680
1119487,Nathan Ngoy,Belgium,4,312,21,14,1119487
936047,Khuliso Mudau,South Africa,4,308,21,14,936047
918506,Mohanad Lasheen,Egypt,4,307,21,14,918506
142622,Antonio Rüdiger,Germany,4,301,21,14,142622
770677,Denis Zakaria,Switzerland,4,300,21,14,770677
344847,Johan Mojica,Colombia,4,295,21,14,344847
759520,Denzel Dumfries,Netherlands,4,295,21,14,759520
839981,Lucas Paquetá,Brazil,4,295,21,14,839981
873106,Hiroki Itō,Japan,4,293,21,14,873106
1105836,Matías Galarza,Paraguay,4,292,21,14,1105836
801411,Derek Cornelius,Canada,4,291,21,14,801411
147138,Pico,Cabo Verde,4,288,21,14,147138
2087085,Yan Diomande,Côte d'Ivoire,4,288,21,14,2087085
539792,Ronwen Williams,South Africa,4,287,21,14,539792
293519,Leroy Sané,Germany,4,286,21,14,293519
906838,Kevin Lenini,Cabo Verde,4,286,21,14,906838
844942,Gideon Mensah,Ghana,4,285,21,14,844942
843754,Ibrahim Sangaré,Côte d'Ivoire,4,284,21,14,843754
831488,Nikola Katić,Bosnia & Herzegovina,4,283,21,14,831488
1064218,Chadi Riad,Morocco,4,283,21,14,1064218
794338,Daichi Kamada,Japan,4,280,21,14,794338
142148,Sead Kolašinac,Bosnia & Herzegovina,4,275,21,14,142148
847938,Aiden O'Neill,Australia,4,275,21,14,847938
174975,Arthur Masuaku,DR Congo,4,271,21,14,174975
